Thangapandiyan | Rajapalayam | DMK | NA,"Abdul Wahab | Palayamkottai | DMK | ? 2,27,18,035",Abdul Wahab | Palayamkottai | DMK | 26,,,
Kadhar Batcha Alas Muthuramalingam | Ramanathapuram | DMK | 12th Pass,"M.s.m.anandhan | Palladam | AIADMK | ? 7,97,05,395",M.s.m.anandhan | Palladam | AIADMK | 0,,,
Gandhi | Ranipet | DMK | 10th Pass,"Karunanidhi | Pallavaram | DMK | ? 1,00,08,315",Karunanidhi | Pallavaram | DMK | 12,,,
Dr.m.madhivendhan | Rasipuram | DMK | Graduate Professional,"Velmurugan | Panruti | TVK | ? 23,93,638",Velmurugan | Panruti | TVK | 17,,,
Vasantham Karthikeyan | Rishivandiyam | DMK | Graduate Professional,"M. H. Jawahirullah | Papanasam | MMK | ? 2,75,69,226",M. H. Jawahirullah | Papanasam | MMK | 1,,,
Ira Moorthi | Royapuram | DMK | 10th Pass,"A.govindasami | Pappireddippatti | AIADMK | ? 2,84,79,202",A.govindasami | Pappireddippatti | AIADMK | 0,,,
Ma Subramaniam | Saidapet | DMK | NA,"Murugesan | Paramakudi | DMK | ? 1,80,40,919",Murugesan | Paramakudi | DMK | 0,,,
R Rajendhiran | Salem (North) | DMK | Graduate Professional,"S.sekar | Paramathi-Velur | AIADMK | ? 2,26,61,492",S.sekar | Paramathi-Velur | AIADMK | 0,,,
Balasubramanian | Salem (South) | AIADMK | Graduate,"Annadurai | Pattukkottai | DMK | ? 1,82,32,530",Annadurai | Pattukkottai | DMK | 6,,,
R.arul | Salem (West) | PMK | Graduate,"G.k.mani | Pennagaram | PMK | ? 73,23,252",G.k.mani | Pennagaram | PMK | 8,,,
E.raja | Sankarankovil | DMK | Post Graduate,"M Prabhakaran | Perambalur | DMK | ? 3,36,82,246",M Prabhakaran | Perambalur | DMK | 6,,,
Tha Udhayasuriyan | Sankarapuram | DMK | Graduate,"R D Sekar | Perambur | DMK | ? 1,28,91,842",R D Sekar | Perambur | DMK | 10,,,
Sundaraj | Sankari | AIADMK | Graduate,"N Ashok Kumar | Peravurani | DMK | ? 6,10,20,192",N Ashok Kumar | Peravurani | DMK | 0,,,
A.r.raguraman | Sattur | MDMK | Graduate Professional,"K S Saravanakumar | Periyakulam | DMK | ? 2,32,85,964",K S Saravanakumar | Periyakulam | DMK | 4,,,
K Ponnusami | Senthamangalam | DMK | 8th Pass,"Jayakumar | Perundurai | AIADMK | ? 8,72,19,470",Jayakumar | Perundurai | AIADMK | 0,,,
Venkatesan | Sholavandan | DMK | Graduate,"Jayaraman | Pollachi | AIADMK | ? 30,88,96,045",Jayaraman | Pollachi | AIADMK | 0,,,
Aravind Ramesh | Shozhinganallur | DMK | 8th Pass,"Agri Krishnamoorthy | Polur | AIADMK | ? 7,53,97,719",Agri Krishnamoorthy | Polur | AIADMK | 1,,,
A.m.munirathinam | Sholingur | INC | 10th Pass,"Durai Chandrasekhar | Ponneri | INC | ? 66,71,323",Durai Chandrasekhar | Ponneri | INC | 1,,,
K.r.jayaram | Singanallur | AIADMK | 8th Pass,Nivetha Murugan | Poompuhar | DMK | ? NA,Nivetha Murugan | Poompuhar | DMK | NA,,,
Mu Panneerselvam | Sirkazhi | DMK | Post Graduate,"A Krishnasami | Poonamallee | DMK | ? 13,13,17,837",A Krishnasami | Poonamallee | DMK | 8,,,
Senthilnathan | Sivaganga | AIADMK | Graduate Professional,"Muthuraja | Pudukkottai | DMK | ? 9,12,18,510",Muthuraja | Pudukkottai | DMK | 0,,,
A.m.s.g.ashokan | Sivakasi | INC | Graduate,"M.appavu | Radhapuram | DMK | ? 2,53,54,570",M.appavu | Radhapuram | DMK | 7,,,
K.selvaperunthagai | Sriperumbudur | INC | Graduate Professional,Thangapandiyan | Rajapalayam | DMK | ? NA,Thangapandiyan | Rajapalayam | DMK | NA,,,
M.palaniandi | Srirangam | DMK | 8th Pass,"Kadhar Batcha Alas Muthuramalingam | Ramanathapuram | DMK | ? 1,02,60,895",Kadhar Batcha Alas Muthuramalingam | Ramanathapuram | DMK | 5,,,
Urvasi S.amirtharaj | Srivaikuntam | INC | Post Graduate,"Gandhi | Ranipet | DMK | ? 47,94,13,150",Gandhi | Ranipet | DMK | 3,,,
Maanraj | Srivilliputhur | AIADMK | Graduate,"Dr.m.madhivendhan | Rasipuram | DMK | ? 5,22,43,724",Dr.m.madhivendhan | Rasipuram | DMK | 0,,,
Vp Kandhasamy | Sulur | AIADMK | Graduate,"Vasantham Karthikeyan | Rishivandiyam | DMK | ? 15,22,01,957",Vasantham Karthikeyan | Rishivandiyam | DMK | 34,,,
S R Raja | Tambaram | DMK | 8th Pass,"Ira Moorthi | Royapuram | DMK | ? 1,12,19,58,217",Ira Moorthi | Royapuram | DMK | 0,,,
S.palani Nadar | Tenkasi | INC | NA,Ma Subramaniam | Saidapet | DMK | ? NA,Ma Subramaniam | Saidapet | DMK | NA,,,
Ramachandran | Thalli | CPI | Graduate Professional,"R Rajendhiran | Salem (North) | DMK | ? 2,60,63,861",R Rajendhiran | Salem (North) | DMK | 16,,,
Tkg Neelamegam | Thanjavur | DMK | 8th Pass,"Balasubramanian | Salem (South) | AIADMK | ? 3,56,09,566",Balasubramanian | Salem (South) | AIADMK | 0,,,
Thayagam Kavi | Thiru-vi-ka-nagar | DMK | Post Graduate,"R.arul | Salem (West) | PMK | ? 5,43,04,970",R.arul | Salem (West) | PMK | 7,,,
R.b.udhayakumar | Thirumangalam | AIADMK | Post Graduate,"E.raja | Sankarankovil | DMK | ? 6,31,56,370",E.raja | Sankarankovil | DMK | 3,,,
Ragupathi | Thirumayam | DMK | Graduate Professional,"Tha Udhayasuriyan | Sankarapuram | DMK | ? 8,81,92,627",Tha Udhayasuriyan | Sankarapuram | DMK | 38,,,
Rajan Chellapa | Thiruparankundram | AIADMK | Post Graduate,"Sundaraj | Sankari | AIADMK | ? 3,03,07,813",Sundaraj | Sankari | AIADMK | 0,,,
S.s.balaji | Thiruporur | VCK | Graduate Professional,"A.r.raguraman | Sattur | MDMK | ? 1,80,72,721",A.r.raguraman | Sattur | MDMK | 0,,,
Marimuthu | Thiruthuraipoondi | CPI | 12th Pass,"K Ponnusami | Senthamangalam | DMK | ? 76,65,424",K Ponnusami | Senthamangalam | DMK | 0,,,
