2021 Assembly Election DMK Candidates List,2021 Assembly Election AIADMK Candidates List,2021 Assembly Election BJP Candidates List,2021 Assembly Election INC Candidates,2021 Assembly Election MDMK Candidates List,2021 Assembly Election PMK Candidates List,2021 Assembly Election VCK Candidates List ,2021 Assembly Election PMK Candidates List
Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,
---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,
"T R Shanmugasundaram | Mettuppalayam | 1,02,775 | 45.66% | LOST","Dhamodharan | Kinathukadavu | 1,01,537 | 43.68% | WON",,,,,,
"K. Selvaraj | Tiruppur (South) | 75,535 | 43.31% | WON","Jayaraman | Pollachi | 80,567 | 45.44% | WON",,,,,,
"Payya @ Krishnan | Kavundampalayam | 1,25,893 | 40.62% | LOST","Amul Kandhasamy | Valparai | 71,672 | 49.37% | WON",,,,,,
"V.m.shanmugasundaram | Coimbatore (North) | 77,453 | 38.19% | LOST","K.radhakrishnan | Udumalaipettai | 96,893 | 49.85% | WON",,,,,,
"Karthikeya Sivasenapathy | Thondamuthur | 82,595 | 35.83% | LOST","C.mahendran | Madathukulam | 84,313 | 46.35% | WON",,,,,,
"N.karthik | Singanallur | 70,390 | 34.84% | LOST","Ravi Manoharan | Palani | 78,510 | 38.23% | LOST",,,,,,
"Kurichi Prabhakaran | Kinathukadavu | 1,00,442 | 43.21% | LOST","N.p.natraj | Oddanchatram | 81,228 | 40.26% | LOST",,,,,,
"Varadharajan | Pollachi | 78,842 | 44.47% | LOST","S. Thenmozhi | Nilakkottai | 91,461 | 49.49% | WON",,,,,,
"R.jayaramakrishnan | Madathukulam | 77,875 | 42.81% | LOST","Vishwanathan | Natham | 1,07,762 | 47.84% | WON",,,,,,
"I.p.senthilkumar | Palani | 1,08,566 | 52.86% | WON","Srinivasan | Dindigul | 90,595 | 46.43% | WON",,,,,,
"R. Sakkarapani | Oddanchatram | 1,09,970 | 54.51% | WON","V.p.p. Paramasivan | Vedasandur | 88,928 | 41.73% | LOST",,,,,,
"I.periyasamy | Athoor | 1,65,809 | 72.11% | WON","M.r.vijayabaskar | Karur | 89,309 | 43.08% | LOST",,,,,,
"M.a.aandi Ambalam | Natham | 95,830 | 42.54% | LOST","Muthukumar @ Thanesh | Krishnarayapuram | 64,915 | 35.88% | LOST",,,,,,
"S.gandhirajan | Vedasandur | 1,06,481 | 49.97% | WON","N.r.chandrasekar | Kulithalai | 77,289 | 39.14% | LOST",,,,,,
"R.elango | Aravakurichi | 93,369 | 52.72% | WON","Chandrasekar | Manapparai | 85,834 | 38.71% | LOST",,,,,,
"Senthil Balaji | Karur | 1,01,757 | 49.08% | WON","Ku Pa Krishnan | Srirangam | 93,989 | 39.12% | LOST",,,,,,
"K.sivakamasundari | Krishnarayapuram | 96,540 | 53.37% | WON","V. Padmanathan | Tiruchirappalli (West) | 33,024 | 18.04% | LOST",,,,,,
"R.manickam | Kulithalai | 1,00,829 | 51.06% | WON","Vellamandi Natrajan | Tiruchirappalli (East) | 40,505 | 23.43% | LOST",,,,,,
"M.palaniandi | Srirangam | 1,13,904 | 47.41% | WON","P.kumar | Thiruverumbur | 55,727 | 28.29% | LOST",,,,,,
"K.n.nehru | Tiruchirappalli (West) | 1,18,133 | 64.52% | WON","D.r.dharmaraj | Lalgudi | 67,965 | 38.89% | LOST",,,,,,
"Inigo Irudhayaraj | Tiruchirappalli (East) | 94,302 | 54.56% | WON","Paranjothi | Manachanallur | 56,716 | 28.83% | LOST",,,,,,
"Anbil Mahesh Poyyamozhi | Thiruverumbur | 1,05,424 | 53.51% | WON","Selvarasu | Musiri | 63,788 | 35.5% | LOST",,,,,,
"A.soundrapandiyan | Lalgudi | 84,914 | 48.59% | WON","Indiragandhi | Thuraiyur | 65,715 | 37.36% | LOST",,,,,,
"C.kathiravan | Manachanallur | 1,16,334 | 59.14% | WON","R.tamilselvan | Perambalur | 91,056 | 37.94% | LOST",,,,,,
"N.thiyagarajan | Musiri | 90,624 | 50.43% | WON","R.t.ramachandran | Kunnam | 97,593 | 44.38% | LOST",,,,,,
"Stalin Kumar | Thuraiyur | 87,786 | 49.91% | WON","Tamarai Rajendran | Ariyalur | 1,00,741 | 44.73% | LOST",,,,,,
"M Prabhakaran | Perambalur | 1,22,090 | 50.87% | WON","Rajendhran | Panruti | 89,104 | 45.22% | LOST",,,,,,
